family_id temporary_sample_id original_sample_id
GALG000001 Galgo_Espanol_492 GALG000001
GALG000002 Galgo_Espanol_493 GALG000002
GALG000003 Galgo_Espanol_494 GALG000003
GALG000004 Galgo_Espanol_495 GALG000004
GALG000005 Galgo_Espanol_496 GALG000005
GAWO000001 Great_Anglo_French_White_and_Orange_Hound_497 GAWO000001
GAWO000002 Great_Anglo_French_White_and_Orange_Hound_498 GAWO000002
GAWO000003 Great_Anglo_French_White_and_Orange_Hound_499 GAWO000003
GAWO000005 Great_Anglo_French_White_and_Orange_Hound_500 GAWO000005
GAWO000006 Great_Anglo_French_White_and_Orange_Hound_501 GAWO000006
GBGV000001 Grand_Basset_Griffon_Vendeen_502 GBGV000001
GBGV000002 Grand_Basset_Griffon_Vendeen_503 GBGV000002
GBGV000003 Grand_Basset_Griffon_Vendeen_504 GBGV000003
GBGV000004 Grand_Basset_Griffon_Vendeen_505 GBGV000004
GBGV000005 Grand_Basset_Griffon_Vendeen_506 GBGV000005
GHND000001 German_Hound_507 GHND000001
GHND000002 German_Hound_508 GHND000002
GHND000003 German_Hound_509 GHND000003
GHND000005 German_Hound_510 GHND000005
GHND000006 German_Hound_511 GHND000006
GHUT000001 German_Hunting_Terrier_512 GHUT000001
GHUT000002 German_Hunting_Terrier_513 GHUT000002
GHUT000005 German_Hunting_Terrier_514 GHUT000005
GHUT000006 German_Hunting_Terrier_515 GHUT000006
GLEN000001 Glen_of_Imaal_Terrier_516 GLEN000001
GLEN000002 Glen_of_Imaal_Terrier_517 GLEN000002
GLEN000003 Glen_of_Imaal_Terrier_518 GLEN000003
GLEN000005 Glen_of_Imaal_Terrier_519 GLEN000005
GLEN000006 Glen_of_Imaal_Terrier_520 GLEN000006
GMSP000001 German_Spaniel_521 GMSP000001
GMSP000002 German_Spaniel_522 GMSP000002
GMSP000004 German_Spaniel_523 GMSP000004
GMSP000005 German_Spaniel_524 GMSP000005
GMSP000006 German_Spaniel_525 GMSP000006
GP3 Great_Pyrenees_526 GP3
GPYR000003 Great_Pyrenees_527 GPYR000003
GPYR000004 Great_Pyrenees_528 GPYR000004
GPYR000005 Great_Pyrenees_529 GPYR000005
grls9UBFUUCC Golden_Retriever_530 grls9UBFUUCC
grlsHNWDKEVV Golden_Retriever_531 grlsHNWDKEVV
grlsQ0VXQ4TT Golden_Retriever_532 grlsQ0VXQ4TT
grlsRLC7RDEE Golden_Retriever_533 grlsRLC7RDEE
grlsS6JNNKVV Golden_Retriever_534 grlsS6JNNKVV
GRND000002 Groenendael_535 GRND000002
GRNI000002 Griffon_Nivernais_536 GRNI000002
GRNI000003 Griffon_Nivernais_537 GRNI000003
GRNI000004 Griffon_Nivernais_538 GRNI000004
GRNI000005 Griffon_Nivernais_539 GRNI000005
GRNI000006 Griffon_Nivernais_540 GRNI000006
GRSD000003 German_Shepherd_541 GRSD000003
GS104 German_Spitz_542 GS104
GSMD000001 Greater_Swiss_Mountain_Dog_543 GSMD000001
GSMD000003 Greater_Swiss_Mountain_Dog_544 GSMD000003
GSMD000009 Greater_Swiss_Mountain_Dog_545 GSMD000009
GSNZ000001 Giant_Schnauzer_546 GSNZ000001
GSNZ000003 Giant_Schnauzer_547 GSNZ000003
GSNZ000004 Giant_Schnauzer_548 GSNZ000004
GSNZ000005 Giant_Schnauzer_549 GSNZ000005
GSNZ000006 Giant_Schnauzer_550 GSNZ000006
GSPK000001 German_Spitz_Klein_551 GSPK000001
GSPK000005 German_Spitz_Klein_552 GSPK000005
GSPK000006 German_Spitz_Klein_553 GSPK000006
GSPK000008 German_Spitz_Klein_554 GSPK000008
GSPK000010 German_Spitz_Klein_555 GSPK000010
